source_id,target_id,latency_ns
2,1,70664
2,1,31610
2,1,26610
2,1,32682
2,1,30097
2,1,35046
2,1,32140
2,1,29696
2,1,30908
2,1,29566
2,1,29275
2,1,31459
2,1,39835
2,1,44374
2,1,34967
2,1,28894
2,1,30067
2,1,37541
2,1,34385
2,1,30748
2,1,25579
2,1,33963
2,1,44494
2,1,40867
2,1,32091
2,1,93105
2,1,36350
2,1,37049
2,1,32171
2,1,37781
2,1,36609
2,1,27552
2,1,34394
2,1,23385
2,1,40215
2,1,38061
2,1,33263
2,1,33803
2,1,23564
2,1,32893
2,1,33414
2,1,26610
2,1,29925
2,1,36287
2,1,33472
2,1,36449
2,1,47300
2,1,33504
2,1,34445
2,1,32220
2,1,30338
2,1,26961
2,1,31269
2,1,29165
2,1,31569
2,1,28054
2,1,26781
2,1,44294
2,1,33523
2,1,31910
2,1,37911
2,1,32612
2,1,36418
2,1,38143
2,1,32672
2,1,32109
2,1,38855
2,1,27943
2,1,28013
2,1,33613
2,1,37300
2,1,30687
2,1,33532
2,1,30858
2,1,35417
2,1,35618
2,1,34335
2,1,36800
2,1,35587
2,1,40216
2,1,29966
2,1,30957
2,1,31058
2,1,18866
2,1,31609
2,1,31109
2,1,32491
2,1,30437
2,1,34555
2,1,26601
2,1,32852
2,1,32501
2,1,43391
2,1,30277
2,1,41758
2,1,32621
2,1,33182
2,1,34214
2,1,31550
2,1,29836
2,1,30957
2,1,31018
2,1,34065
2,1,29114
2,1,29065
2,1,33201
2,1,26148
2,1,30286
2,1,25728
2,1,34655
2,1,31469
2,1,27001
2,1,35627
2,1,39234
2,1,36900
2,1,30006
2,1,33143
2,1,38152
2,1,33903
2,1,23045
2,1,29625
2,1,25358
2,1,23153
2,1,32110
2,1,24697
2,1,23515
2,1,23994
2,1,23924
2,1,28654
2,1,32291
2,1,33182
2,1,29195
2,1,36759
2,1,29095
2,1,28413
2,1,28182
2,1,38242
2,1,48642
2,1,29807
2,1,31579
2,1,30548
2,1,28585
2,1,33052
2,1,37820
2,1,29286
2,1,33433
2,1,32481
2,1,28704
2,1,24898
2,1,24987
2,1,31128
2,1,26830
2,1,32491
2,1,27332
2,1,33402
2,1,30057
2,1,33173
2,1,30427
2,1,34846
2,1,27932
2,1,24736
2,1,25238
2,1,45106
2,1,34766
2,1,32861
2,1,30057
2,1,34756
2,1,34445
2,1,22061
2,1,27402
2,1,32111
2,1,34254
2,1,22232
2,1,44424
2,1,23824
2,1,28494
2,1,21100
2,1,20679
2,1,21210
2,1,22903
2,1,36229
2,1,26419
2,1,28584
2,1,44935
2,1,30087
2,1,26941
2,1,27060
2,1,26629
2,1,24315
2,1,19637
2,1,27102
2,1,22072
2,1,26299
2,1,26230
2,1,21190
2,1,41228
2,1,28995
2,1,28232
2,1,25928
2,1,24055
2,1,20438
2,1,25839
2,1,26100
2,1,30989
2,1,28994
2,1,26090
2,1,33794
2,1,28534
2,1,27020
2,1,34866
2,1,33132
2,1,31159
2,1,32121
2,1,29445
2,1,28483
2,1,30829
2,1,32422
2,1,28715
2,1,30810
2,1,29766
2,1,23564
2,1,36137
2,1,27361
