source_id,target_id,latency_ns
2,0,50967
2,0,17442
2,0,16422
2,0,15589
2,0,16039
2,0,16350
2,0,15780
2,0,40146
2,0,16721
2,0,16932
2,0,18083
2,0,17312
2,0,16882
2,0,17152
2,0,17272
2,0,25830
2,0,16411
2,0,16801
2,0,15239
2,0,15438
2,0,14798
2,0,15549
2,0,15278
2,0,133872
2,0,16092
2,0,14887
2,0,15359
2,0,15389
2,0,4236458
2,0,17923
2,0,16891
2,0,16864
2,0,14707
2,0,8246
2,0,16843
2,0,23575
2,0,16591
2,0,17033
2,0,7916
2,0,14717
2,0,15119
2,0,14137
2,0,14688
2,0,16321
2,0,65112
2,0,17303
2,0,17583
2,0,16711
2,0,17122
2,0,15920
2,0,16732
2,0,16231
2,0,20318
2,0,13917
2,0,15720
2,0,18615
2,0,16110
2,0,16240
2,0,16421
2,0,16020
2,0,15940
2,0,16120
2,0,23043
2,0,16682
2,0,23995
2,0,20128
2,0,14969
2,0,16110
2,0,16100
2,0,18765
2,0,15389
2,0,23796
2,0,15709
2,0,23865
2,0,18535
2,0,15419
2,0,15009
2,0,17222
2,0,25428
2,0,163147
2,0,16081
2,0,16572
2,0,15940
2,0,15049
2,0,14657
2,0,26009
2,0,26870
2,0,25898
2,0,23083
2,0,16320
2,0,15018
2,0,10129
2,0,15389
2,0,15079
2,0,15871
2,0,16230
2,0,17243
2,0,17143
2,0,17423
2,0,17673
2,0,19447
2,0,14057
2,0,16000
2,0,15339
2,0,10429
2,0,23704
2,0,16090
2,0,14988
2,0,8135
2,0,15421
2,0,15209
2,0,15159
2,0,15178
2,0,10130
2,0,8166
2,0,28344
2,0,15208
2,0,14848
2,0,14859
2,0,20328
2,0,17131
2,0,14988
2,0,15399
2,0,17453
2,0,15279
2,0,10580
2,0,10439
2,0,10700
2,0,18365
2,0,21191
2,0,15960
2,0,111831
2,0,15128
2,0,15589
2,0,15279
2,0,15249
2,0,14777
2,0,15169
2,0,8957
2,0,15059
2,0,15028
2,0,15990
2,0,12774
2,0,15629
2,0,15258
2,0,15098
2,0,14859
2,0,15128
2,0,13605
2,0,16272
2,0,14858
2,0,14607
2,0,14967
2,0,15128
2,0,16561
2,0,16691
2,0,15078
2,0,15218
2,0,15128
2,0,14808
2,0,15298
2,0,15338
2,0,15068
2,0,14467
2,0,16651
2,0,16150
2,0,15250
2,0,17072
2,0,15290
2,0,21470
2,0,16541
2,0,8146
2,0,17934
2,0,8265
2,0,15889
2,0,24596
2,0,10359
2,0,18445
2,0,21059
2,0,9809
2,0,15980
2,0,15259
2,0,14919
2,0,15900
2,0,16131
2,0,15699
2,0,21270
2,0,16251
2,0,15929
2,0,15539
2,0,15580
2,0,15178
2,0,23555
2,0,15278
2,0,21180
2,0,15159
2,0,14938
2,0,12954
2,0,16651
2,0,25517
2,0,15279
2,0,16503
2,0,14929
2,0,10599
2,0,15009
2,0,17173
2,0,15609
2,0,15861
2,0,15880
2,0,7784
2,0,9759
2,0,20249
2,0,23837
2,0,22292
2,0,16501
2,0,15720
2,0,15399
2,0,7844
2,0,22933
2,0,16051
2,0,16089
2,0,15088
2,0,15840
2,0,14727
2,0,15729
2,0,16611
2,0,15790
2,0,15500
2,0,15289
2,0,18213
2,0,16150
2,0,15149
2,0,24857
2,0,15519
2,0,19908
2,0,15509
2,0,9778
2,0,15590
2,0,23334
2,0,18585
2,0,17243
2,0,16040
2,0,15198
2,0,44644
2,0,15851
2,0,15962
2,0,15630
2,0,15541
2,0,14928
2,0,15088
2,0,16632
2,0,15569
2,0,8135
2,0,15679
2,0,17313
2,0,15841
2,0,15049
2,0,24076
2,0,15900
2,0,15980
2,0,19386
2,0,17562
2,0,15870
2,0,15108
2,0,15930
2,0,15871
2,0,23314
2,0,15850
2,0,23374
2,0,15519
2,0,15709
2,0,20608
2,0,13987
2,0,19086
2,0,16962
2,0,15298
2,0,25909
2,0,16913
2,0,15259
2,0,15349
2,0,15980
2,0,22161
2,0,13997
2,0,14677
2,0,14587
2,0,16200
2,0,20518
2,0,21249
2,0,24847
2,0,12624
2,0,13536
2,0,26891
2,0,11863
2,0,10791
2,0,17012
2,0,16000
2,0,16171
2,0,16390
2,0,15098
2,0,15639
2,0,14638
2,0,14959
2,0,14988
2,0,14968
2,0,15088
2,0,23234
2,0,14867
2,0,16130
2,0,15780
2,0,23485
2,0,15369
2,0,15660
2,0,15008
2,0,15870
2,0,16340
2,0,24266
2,0,9187
2,0,14809
2,0,17753
2,0,15961
2,0,15520
2,0,15509
2,0,7935
2,0,15630
2,0,23965
2,0,15939
2,0,15098
2,0,20139
2,0,98195
2,0,14788
2,0,25229
2,0,16130
2,0,15299
2,0,18605
2,0,45546
2,0,17052
2,0,20519
2,0,16421
2,0,14438
2,0,15700
2,0,15048
2,0,10148
2,0,21240
2,0,16611
2,0,15077
2,0,17113
2,0,16101
2,0,15899
2,0,15659
2,0,15900
2,0,25838
2,0,16792
2,0,15328
2,0,16000
2,0,16371
2,0,15239
2,0,17263
2,0,16090
2,0,15329
2,0,18244
2,0,17213
2,0,16090
2,0,26099
2,0,7875
2,0,15329
2,0,25509
2,0,10581
2,0,17964
2,0,17402
2,0,17893
2,0,15801
2,0,15720
2,0,15650
2,0,15218
2,0,15739
2,0,15299
2,0,15891
2,0,15799
2,0,16110
2,0,17473
2,0,15288
2,0,15410
2,0,15840
2,0,15940
2,0,19708
2,0,15268
2,0,15299
2,0,15229
2,0,22853
2,0,17523
2,0,19797
2,0,7554
2,0,15500
2,0,16452
2,0,18374
2,0,8025
2,0,15709
2,0,15018
2,0,15008
2,0,8265
2,0,21312
2,0,15420
2,0,14639
2,0,14849
2,0,14417
2,0,15278
2,0,15480
2,0,9387
